"household_code","week","month","weekR","monthR","year","Y","LogR","YInst","Lag2LogNomR","Lag2Inf"
2000000,8,2,60,14,2004,-0.08365383520837,0.00394171616909269,0.289787616678714,0.00876150566857267,1.0050505050505
2000000,9,2,61,14,2004,-0.413415654098167,0.00434006323524307,-0.08365383520837,0.00876150566857267,1.0050505050505
2000000,10,3,62,15,2004,0.0476518272524649,0.00400848236895699,-0.413415654098167,0.0089597413714718,1.0050505050505
2000000,11,3,63,15,2004,-1.16596092036517,0.00390887745446494,0.0476518272524649,0.00935609492402503,1.0050505050505
2000000,12,3,64,15,2004,0.483919628617733,0.00370963785712199,-1.16596092036517,0.00955421280481171,1.00558347292016
2000000,13,3,65,15,2004,0.593906538829455,0.0038092626178456,0.483919628617733,0.0094551587707552,1.00558347292016
2000000,14,3,66,15,2004,-0.456743537122243,0.00437926116549682,0.593906538829455,0.00925702126267685,1.00558347292016
2000000,15,4,67,16,2004,1.1145979381806,0.00484626120346397,-0.456743537122243,0.00935609492402503,1.00558347292016
2000000,16,4,68,16,2004,-0.252517861931937,0.0046472083011548,1.1145979381806,0.00935609492402503,1.00501272479989
2000000,17,4,69,16,2004,0.0669575304789545,0.00434855463660925,-0.252517861931937,0.00925702126267685,1.00444197667962
2000000,18,5,70,17,2004,-3.3890368369804,0.00241637065030438,0.0669575304789589,0.00905884448834615,1.00444197667962
2000000,19,5,71,17,2004,-0.116802323381022,0.00261586805865766,-3.3890368369804,0.00876150566857267,1.00444197667962
2000000,20,5,72,17,2004,-0.0385497403193806,0.00261586805865766,-0.116802323381023,0.00846407841212936,1.00608070757324
2000000,21,5,73,17,2004,-0.171749203894535,0.00281532567573312,-0.0385497403193806,0.00866237307865259,1.00608070757324
2000000,22,5,74,17,2004,3.22552036758687,0.00311443752741406,-0.171749203894535,0.00866237307865259,1.00608070757324
2000000,23,6,75,18,2004,0.326304874197987,0.00444505116084391,3.22552036758687,0.00886062843219647,1.00608070757324
2000000,25,6,77,18,2004,0.76758614909801,0.00524118601213983,0.326304874197987,0.00915793778476572,1.00608070757324
2000000,26,6,78,18,2004,0.0443326418553962,0.00553957324775209,0.76758614909801,0.00935609492402503,1.00494505494505
2000000,28,7,80,19,2004,0.88473623275781,0.0126597664890537,0.0443326418553962,0.0101483310518151,1.00494505494505
2000000,29,7,81,19,2004,-1.56446691106003,0.0129559486321698,0.884736232757812,0.0104452578615386,1.00494505494505
2000000,30,7,82,19,2004,-0.605887710788608,0.0133507217463627,-1.56446691106003,0.0110388471152164,0.998359759431383
2000000,31,7,83,19,2004,-1.89688070864399,0.0143369732442784,-0.605887710788609,0.0113355096637457,0.998359759431383
2000000,32,8,84,20,2004,-0.49607492353761,0.0130149370774948,-1.89688070864399,0.0117309228756987,0.998359759431383
2000000,33,8,85,20,2004,1.06846335965303,0.0134096869099177,-0.49607492353761,0.0127187724077746,0.998359759431383
2000000,34,8,86,20,2004,-0.222866376646198,0.0132123314721349,1.06846335965303,0.0130149370774948,1
2000000,35,8,87,20,2004,1.17795075442893,0.0135083500247923,-0.222866376646198,0.0134096869099177,1
2000000,36,9,88,21,2004,0.0313977118643924,0.0131182875239232,1.17795075442893,0.0132123314721349,1
2000000,38,9,90,21,2004,0.260359299425187,0.0142033627372366,0.0313977118643924,0.0135083500247923,1
2000000,39,9,91,21,2004,0.161793685396282,0.0141047681740368,0.260359299425187,0.0141987193998129,1.00109529025192
2000000,40,9,92,21,2004,0.841197914604709,0.0113866221217149,0.161793685396282,0.015282623531157,1.00109529025192
2000000,41,10,93,22,2004,-0.104301911078985,0.0103231192136654,0.841197914604709,0.0151841353250401,1.00109529025192
2000000,42,10,94,22,2004,-0.506961598754303,0.0106199941363354,-0.104301911078985,0.0149871298082482,1.0036473724618
2000000,43,10,95,22,2004,0.486676260525649,0.0109167809504422,-0.506961598754304,0.0151841353250401,1.00492341356674
2000000,44,10,96,22,2004,-0.0413589580045057,0.0122018402760208,0.486676260525648,0.0154795708483864,1.00492341356674
